loc,cyclomatic_complexity,num_functions,avg_function_length,max_function_length,num_classes,duplicate_ratio,max_nesting_depth,comment_ratio,avg_params,severity
116.0,4.302344471457894,17.0,42.35087474588215,51.41750142628602,5.0,0.26707839375515163,5.0,0.2881195010085859,3.555692717691608,MEDIUM
931.0,2.872568365118124,37.0,23.733899417034266,57.011158518864164,2.0,0.0,3.0,0.2981308807625005,0.0,MEDIUM
788.0,4.754326180255169,2.0,69.65351825808634,64.71546759702454,7.0,0.19732535975672735,4.0,0.12889749850036542,0.4065966327160421,MEDIUM
532.0,3.3082389572027875,9.0,31.86483561404045,31.294308099758716,5.0,0.1010942467624349,1.0,0.4557266498132665,2.516615720437078,MEDIUM
525.0,6.994505044386252,11.0,32.21307428306499,44.95087334601057,9.0,0.1634658363283678,4.0,0.6858646318925181,0.0,MEDIUM
1031.0,5.4623971262685584,36.0,22.840103166304583,34.814267596757134,4.0,0.3914373011728612,9.0,0.1882945756454845,3.2526820627146904,HIGH
112.0,9.673077253452805,29.0,30.591811441213956,39.72799587152907,7.0,0.17777524731212505,6.0,0.4148861437033569,3.8806066373238837,MEDIUM
839.0,1.0277283278178606,7.0,9.117510971532878,42.14970339289996,6.0,0.23647711685976225,0.0,0.11930999679004828,1.7880533777480059,MEDIUM
249.0,1.792330366597775,28.0,12.495200263575772,37.50512702456828,0.0,0.1887530112657128,1.0,0.22480774005714166,2.8272343544910497,MEDIUM
122.0,12.386607086840463,0.0,6.9390960566332796,34.52083922256071,4.0,0.28563493476800556,3.0,0.22223073155918183,0.4069829722850976,MEDIUM
636.0,13.525143123306917,31.0,17.376776113196325,27.684519811930592,4.0,0.19041169113854056,7.0,0.18828582503550934,1.094166335765664,HIGH
1170.0,8.330034453159252,8.0,35.51819344528045,38.12628982488045,5.0,0.5348338168139223,1.0,0.05483603164581367,2.126022781241479,MEDIUM
885.0,9.740440484775316,28.0,20.131632080771023,33.763943231052856,8.0,0.00955427981622993,6.0,0.41292400486671765,6.049316986030427,HIGH
915.0,10.8045821313919,19.0,4.863752621915631,59.80661610503457,1.0,0.20986936597525255,7.0,0.10509961830276236,1.4271872471227163,HIGH
